Player Name;Name;Surname;Extra;Player Name 2;Number;Number2;Team
Ty Jerome;Ty;Jerome;;T.Jerome;2;;CLE
Dean Wade;Dean;Wade;;D.Wade;32;;CLE
Isaac Okoro;Isaac;Okoro;;I.Okoro;35;;CLE
Craig PorterJr;Craig;Porter;Jr.;C.Porter;9;;CLE
Max Strus;Max;Strus;;M.Strus;1;;CLE
Jaylon Tyson;Jaylon;Tyson;;J.Tyson;24;;CLE
Tristan Thompson;Tristan;Thompson;;T.Thompson;13;;CLE
De'Andre Hunter;De'Andre;Hunter;;D.Hunter;12;;CLE
Javonte Green;Javonte;Green;;J.Green;8;;CLE
Luke Travers;Luke;Travers;;L.Travers;33;;CLE
Emoni Bates;Emoni;Bates;;E.Bates;21;;CLE
Nae'Qwan Tomlin;Nae'Qwan;Tomlin;;N.Tomlin;30;;CLE
Chuma Okeke;Chuma;Okeke;;C.Okeke;18;;CLE
Spencer Dinwiddie;Spencer;Dinwiddie;;S.Dinwiddie;26;;DAL
Klay Thompson;Klay;Thompson;;K.Thompson;31;;DAL
Naji Marshall;Naji;Marshall;;N.Marshall;13;;DAL
P.J. Washington;P.J.;Washington;;P.Washington;25;;DAL
Daniel Gafford;Daniel;Gafford;;D.Gafford;21;;DAL
Jaden Hardy;Jaden;Hardy;;J.Hardy;1;;DAL
Dwight Powell;Dwight;Powell;;D.Powell;7;;DAL
Olivier-Maxence Prosper;Olivier-Maxence;Prosper;;O.Prosper;8;;DAL
Kyrie Irving;Kyrie;Irving;;K.Irving;11;;DAL
Kessler Edwards;Kessler;Edwards;;K.Edwards;20;;DAL
Dereck Lively;Dereck;Lively;;D.Lively;2;;DAL
Brandon Williams;Brandon;Williams;;B.Williams;10;;DAL
Max Christie;Max;Christie;;M.Christie;0;;DAL
Dante Exum;Dante;Exum;;D.Exum;0;;DAL
Caleb Martin;Caleb;Martin;;C.Martin;16;;DAL
Kai Jones;Kai;Jones;;K.Jones;23;;DAL
Anthony Davis;Anthony;Davis;;A.Davis;3;;DAL
Christian Braun;Christian;Braun;;C.Braun;0;;DEN
Michael PorterJr;Michael;Porter;Jr.;M.Porter;1;;DEN
Russell Westbrook;Russell;Westbrook;;R.Westbrook;4;;DEN
Nikola Jokic;Nikola;Jokic;;N.Jokic;15;;DEN
Peyton Watson;Peyton;Watson;;P.Watson;8;;DEN
Jamal Murray;Jamal;Murray;;J.Murray;27;;DEN
Julian Strawther;Julian;Strawther;;J.Strawther;3;;DEN
Zeke Nnaji;Zeke;Nnaji;;Z.Nnaji;22;;DEN
DeAndre Jordan;DeAndre;Jordan;;D.Jordan;6;;DEN
Aaron Gordon;Aaron;Gordon;;A.Gordon;32;;DEN
Hunter Tyson;Hunter;Tyson;;H.Tyson;5;;DEN
Jalen Pickett;Jalen;Pickett;;J.Pickett;24;;DEN
Trey Alexander;Trey;Alexander;;T.Alexander;23;;DEN
Spencer Jones;Spencer;Jones;;S.Jones;21;;DEN
PJ Hall;PJ;Hall;;P.Hall;13;;DEN
Dario Šaric;Dario;Šaric;;D.Šaric;9;;DEN
Vlatko Cancar;Vlatko;Cancar;;V.Cancar;31;;DEN
DaRon Holmes;DaRon;Holmes;;D.Holmes;;;DEN
Malik Beasley;Malik;Beasley;;M.Beasley;5;;DET
Ron Holland;Ron;Holland;;R.Holland;0;;DET
Jalen Duren;Jalen;Duren;;J.Duren;0;;DET
Tim HardawayJr;Tim;Hardaway;Jr.;T.Hardaway;8;;DET
Simone Fontecchio;Simone;Fontecchio;;S.Fontecchio;19;;DET
Tobias Harris;Tobias;Harris;;T.Harris;12;;DET
Isaiah Stewart;Isaiah;Stewart;;I.Stewart;28;;DET
Cade Cunningham;Cade;Cunningham;;C.Cunningham;2;;DET
Ausar Thompson;Ausar;Thompson;;A.Thompson;9;;DET
Marcus Sasser;Marcus;Sasser;;M.Sasser;25;;DET
Paul Reed;Paul;Reed;;P.Reed;7;;DET
Jaden Ivey;Jaden;Ivey;;J.Ivey;23;;DET
Dennis Schroder;Dennis;Schroder;;D.Schroder;17;;DET
Lindy Waters;Lindy;Waters;;L.Waters;43;;DET
Bobi Klintman;Bobi;Klintman;;B.Klintman;34;;DET
Daniss Jenkins;Daniss;Jenkins;;D.Jenkins;24;;DET
Tolu Smith;Tolu;Smith;;T.Smith;35;;DET
Ron HarperJr;Ron;Harper;Jr.;R.Harper;13;;DET
Buddy Hield;Buddy;Hield;;B.Hield;7;;GSW
Kevon Looney;Kevon;Looney;;K.Looney;5;;GSW
Moses Moody;Moses;Moody;;M.Moody;4;;GSW
Stephen Curry;Stephen;Curry;;S.Curry;30;;GSW
Draymond Green;Draymond;Green;;D.Green;23;;GSW
Brandin Podziemski;Brandin;Podziemski;;B.Podziemski;2;;GSW
Trayce Jackson-Davis;Trayce;Jackson-Davis;;T.Jackson-Davis;32;;GSW
Gary Payton II;Gary;Payton;II;G.Payton;0;;GSW
Gui Santos;Gui;Santos;;G.Santos;15;;GSW
Jonathan Kuminga;Jonathan;Kuminga;;J.Kuminga;0;;GSW
Quinten Post;Quinten;Post;;Q.Post;21;;GSW
Pat Spencer;Pat;Spencer;;P.Spencer;61;;GSW
Jimmy Butler;Jimmy;Butler;;J.Butler;10;;GSW
Kevin Knox;Kevin;Knox;;K.Knox;31;;GSW
Jackson Rowe;Jackson;Rowe;;J.Rowe;44;;GSW
Braxton Key;Braxton;Key;;B.Key;12;;GSW
Taran Armstrong;Taran;Armstrong;;T.Armstrong;;;GSW
Jalen Green;Jalen;Green;;Ja.Green;4;;HOU
Alperen Sengun;Alperen;Sengun;;A.Sengun;28;;HOU
Dillon Brooks;Dillon;Brooks;;D.Brooks;9;;HOU
Amen Thompson;Amen;Thompson;;A.Thompson;1;;HOU
Aaron Holiday;Aaron;Holiday;;A.Holiday;0;;HOU
Fred VanVleet;Fred;VanVleet;;F.VanVleet;5;;HOU
Steven Adams;Steven;Adams;;S.Adams;12;;HOU
Jabari SmithJr;Jabari;Smith;Jr.;J.Smith;10;;HOU
Tari Eason;Tari;Eason;;T.Eason;17;;HOU
Reed Sheppard;Reed;Sheppard;;R.Sheppard;15;;HOU
Jae'Sean Tate;Jae'Sean;Tate;;J.Tate;8;;HOU
Cam Whitmore;Cam;Whitmore;;C.Whitmore;7;;HOU
Jock Landale;Jock;Landale;;J.Landale;2;;HOU
Jeff Green;Jeff;Green;;Je.Green;32;;HOU
Jeenathan Williams;Jeenathan;Williams;;J.Williams;19;;HOU
Jack McVeigh;Jack;McVeigh;;J.McVeigh;58;;HOU
N'Faly Dante;N'Faly;Dante;;N.Dante;3;;HOU
David Roddy;David;Roddy;;D.Roddy;21;;HOU
Obi Toppin;Obi;Toppin;;O.Toppin;1;;IND
T.J. McConnell;T.J.;McConnell;;T.McConnell;9;;IND
Pascal Siakam;Pascal;Siakam;;P.Siakam;43;;IND
Jarace Walker;Jarace;Walker;;J.Walker;5;;IND
Tyrese Haliburton;Tyrese;Haliburton;;T.Haliburton;0;;IND
Bennedict Mathurin;Bennedict;Mathurin;;B.Mathurin;0;;IND
Myles Turner;Myles;Turner;;M.Turner;33;;IND
Andrew Nembhard;Andrew;Nembhard;;A.Nembhard;2;;IND
Ben Sheppard;Ben;Sheppard;;B.Sheppard;26;;IND
Thomas Bryant;Thomas;Bryant;;T.Bryant;3;;IND
Johnny Furphy;Johnny;Furphy;;J.Furphy;12;;IND
Aaron Nesmith;Aaron;Nesmith;;A.Nesmith;23;;IND
Quenton Jackson;Quenton;Jackson;;Q.Jackson;29;;IND
Enrique Freeman;Enrique;Freeman;;E.Freeman;8;;IND
Tony Bradley;Tony;Bradley;;T.Bradley;13;;IND
James Johnson;James;Johnson;;J.Johnson;16;;IND
RayJ Dennis;RayJ;Dennis;;R.Dennis;10;;IND
Isaiah Jackson;Isaiah;Jackson;;I.Jackson;22;;IND
Ivica Zubac;Ivica;Zubac;;I.Zubac;40;;LAC
James Harden;James;Harden;;J.Harden;1;;LAC
Nicolas Batum;Nicolas;Batum;;N.Batum;33;;LAC
Derrick JonesJr;Derrick;Jones;Jr.;D.Jones;55;;LAC
Kris Dunn;Kris;Dunn;;K.Dunn;8;;LAC
Amir Coffey;Amir;Coffey;;A.Coffey;7;;LAC
Norman Powell;Norman;Powell;;N.Powell;24;;LAC
Kobe Brown;Kobe;Brown;;K.Brown;21;;LAC
Kawhi Leonard;Kawhi;Leonard;;K.Leonard;2;;LAC
Jordan Miller;Jordan;Miller;;J.Miller;11;;LAC
Bogdan Bogdanovic;Bogdan;Bogdanovic;;B.Bogdanovic;10;;LAC
Drew Eubanks;Drew;Eubanks;;D.Eubanks;15;;LAC
Ben Simmons;Ben;Simmons;;B.Simmons;25;;LAC
Cam Christie;Cam;Christie;;C.Christie;12;;LAC
Patty Mills;Patty;Mills;;P.Mills;88;;LAC
Trentyn Flowers;Trentyn;Flowers;;T.Flowers;9;;LAC
Patrick BaldwinJr;Patrick;Baldwin;Jr.;P.Baldwin;23;;LAC
Kevin PorterJr;Kevin;PorterJr;Jr.;K.PorterJr;77;;LAC
Seth Lundy;Seth;Lundy;;S.Lundy;;;LAC
Dalton Knecht;Dalton;Knecht;;D.Knecht;4;;LAL
Austin Reaves;Austin;Reaves;;A.Reaves;15;;LAL
Gabe Vincent;Gabe;Vincent;;G.Vincent;7;;LAL
LeBron James;LeBron;James;;L.James;23;;LAL
Rui Hachimura;Rui;Hachimura;;R.Hachimura;28;;LAL
Jaxson Hayes;Jaxson;Hayes;;J.Hayes;11;;LAL
Dorian Finney-Smith;Dorian;Finney-Smith;;D.Finney-Smith;17;;LAL
Christian Koloko;Christian;Koloko;;C.Koloko;10;;LAL
Jarred Vanderbilt;Jarred;Vanderbilt;;J.Vanderbilt;2;;LAL
Shake Milton;Shake;Milton;;S.Milton;20;;LAL
Jordan Goodwin;Jordan;Goodwin;;J.Goodwin;30;;LAL
Luka Doncic;Luka;Doncic;;L.Doncic;77;;LAL
Bronny James;Bronny;James;;B.James;9;;LAL
Trey Jemison;Trey;Jemison;;T.Jemison;55;;LAL
Alex Len;Alex;Len;;A.Len;27;;LAL
Markieff Morris;Markieff;Morris;;M.Morris;88;;LAL
Maxi Kleber;Maxi;Kleber;;M.Kleber;14;;LAL
Jaylen Wells;Jaylen;Wells;;J.Wells;0;;MEM
Scotty PippenJr;Scotty;Pippen;Jr.;S.Pippen;1;;MEM
Jaren JacksonJr;Jaren;Jackson;Jr.;J.Jackson;13;;MEM
Desmond Bane;Desmond;Bane;;D.Bane;22;;MEM
Zach Edey;Zach;Edey;;Z.Edey;14;;MEM
Santi Aldama;Santi;Aldama;;S.Aldama;7;;MEM
Luke Kennard;Luke;Kennard;;L.Kennard;10;;MEM
Brandon Clarke;Brandon;Clarke;;B.Clarke;15;;MEM
Jay Huff;Jay;Huff;;J.Huff;30;;MEM
Ja Morant;Ja;Morant;;J.Morant;12;;MEM
John Konchar;John;Konchar;;J.Konchar;46;;MEM
GG Jackson II;GG;Jackson;II;G.Jackson;45;;MEM
Vince WilliamsJr;Vince;Williams;Jr.;V.Williams;5;;MEM
Cam Spencer;Cam;Spencer;;C.Spencer;24;;MEM
Yuki Kawamura;Yuki;Kawamura;;Y.Kawamura;17;;MEM
Lamar Stevens;Lamar;Stevens;;L.Stevens;8;;MEM
Marvin Bagley;Marvin;Bagley;;M.Bagley;35;;MEM
Zyon Pullin;Zyon;Pullin;;Z.Pullin;2;;MEM
Bam Adebayo;Bam;Adebayo;;B.Adebayo;13;;MIA
Tyler Herro;Tyler;Herro;;T.Herro;14;;MIA
Duncan Robinson;Duncan;Robinson;;D.Robinson;55;;MIA
Haywood Highsmith;Haywood;Highsmith;;H.Highsmith;24;;MIA
Jaime JaquezJr;Jaime;Jaquez;Jr.;J.Jaquez;11;;MIA
Terry Rozier;Terry;Rozier;;T.Rozier;2;;MIA
Kel'el Ware;Kel'el;Ware;;K.Ware;7;;MIA
Pelle Larsson;Pelle;Larsson;;P.Larsson;9;;MIA
Alec Burks;Alec;Burks;;A.Burks;18;;MIA
Nikola Jovic;Nikola;Jovic;;N.Jovic;5;;MIA
Davion Mitchell;Davion;Mitchell;;D.Mitchell;45;;MIA
Kyle Anderson;Kyle;Anderson;;K.Anderson;20;;MIA
Kevin Love;Kevin;Love;;K.Love;42;;MIA
Andrew Wiggins;Andrew;Wiggins;;A.Wiggins;22;;MIA
Keshad Johnson;Keshad;Johnson;;K.Johnson;16;;MIA
Dru Smith;Dru;Smith;;D.Smith;12;;MIA
Josh Christopher;Josh;Christopher;;J.Christopher;8;;MIA
Isaiah Stevens;Isaiah;Stevens;;I.Stevens;4;;MIA
Brook Lopez;Brook;Lopez;;B.Lopez;11;;MIL
Taurean Prince;Taurean;Prince;;T.Prince;12;;MIL
Gary TrentJr;Gary;Trent;Jr.;G.Trent;5;;MIL
A.J. Green;A.J.;Green;;A.Green;20;;MIL
Giannis Antetokounmpo;Giannis;Antetokounmpo;;G.Antetokounmpo;34;;MIL
Andre JacksonJr;Andre;Jackson;Jr.;A.Jackson;44;;MIL
Damian Lillard;Damian;Lillard;;D.Lillard;0;;MIL
Ryan Rollins;Ryan;Rollins;;R.Rollins;13;;MIL
Bobby Portis;Bobby;Portis;;B.Portis;9;;MIL
Pat Connaughton;Pat;Connaughton;;P.Connaughton;24;;MIL
Kyle Kuzma;Kyle;Kuzma;;K.Kuzma;18;;MIL
Kevin PorterJr;Kevin;Porter;Jr.;K.Porter;3;;MIL
Tyler Smith;Tyler;Smith;;T.Smith;21;;MIL
Stanley Umude;Stanley;Umude;;S.Umude;17;;MIL
Chris Livingston;Chris;Livingston;;C.Livingston;7;;MIL
Jericho Sims;Jericho;Sims;;J.Sims;0;;MIL
Pete Nance;Pete;Nance;;P.Nance;35;;MIL
Jamaree Bouyea;Jamaree;Bouyea;;J.Bouyea;15;;MIL
Jaden McDaniels;Jaden;McDaniels;;J.McDaniels;3;;MIN
Nickeil Alexander-Walker;Nickeil;Alexander-Walker;;N.Alexander-Walker;9;;MIN
Naz Reid;Naz;Reid;;N.Reid;11;;MIN
Anthony Edwards;Anthony;Edwards;;A.Edwards;5;;MIN
Rudy Gobert;Rudy;Gobert;;R.Gobert;27;;MIN
Mike Conley;Mike;Conley;;M.Conley;10;;MIN
Julius Randle;Julius;Randle;;J.Randle;30;;MIN
Donte DiVincenzo;Donte;DiVincenzo;;D.DiVincenzo;0;;MIN
Rob Dillingham;Rob;Dillingham;;R.Dillingham;4;;MIN
Josh Minott;Josh;Minott;;J.Minott;8;;MIN
Jaylen Clark;Jaylen;Clark;;J.Clark;22;;MIN
Luka Garza;Luka;Garza;;L.Garza;55;;MIN
Terrence ShannonJr;Terrence;Shannon;Jr.;T.Shannon;0;;MIN
Joe Ingles;Joe;Ingles;;J.Ingles;7;;MIN
Leonard Miller;Leonard;Miller;;L.Miller;33;;MIN
Bones Hyland;Bones;Hyland;;B.Hyland;77;;MIN
Tristen Newton;Tristen;Newton;;T.Newton;13;;MIN
Jesse Edwards;Jesse;Edwards;;J.Edwards;14;;MIN
Yves Missi;Yves;Missi;;Y.Missi;21;;NOP
Jeremiah Robinson-Earl;Jeremiah;Robinson-Earl;;J.Robinson-Earl;50;;NOP
CJ McCollum;CJ;McCollum;;C.McCollum;3;;NOP
Jordan Hawkins;Jordan;Hawkins;;J.Hawkins;24;;NOP
Jose Alvarado;Jose;Alvarado;;J.Alvarado;15;;NOP
Trey Murphy;Trey;Murphy;;T.Murphy;25;;NOP
Antonio Reeves;Antonio;Reeves;;A.Reeves;12;;NOP
Brandon BostonJr;Brandon;Boston;Jr.;B.Boston;11;;NOP
Karlo Matkovic;Karlo;Matkovic;;K.Matkovic;17;;NOP
Jamal Cain;Jamal;Cain;;J.Cain;8;;NOP
Dejounte Murray;Dejounte;Murray;;D.Murray;5;;NOP
Zion Williamson;Zion;Williamson;;Z.Williamson;1;;NOP
Bruce Brown;Bruce;Brown;;B.Brown;0;;NOP
Kelly Olynyk;Kelly;Olynyk;;K.Olynyk;13;;NOP
Herbert Jones;Herbert;Jones;;H.Jones;2;;NOP
Elfrid Payton;Elfrid;Payton;;E.Payton;4;;NOP
Keion BrooksJr;Keion;Brooks;Jr.;K.Brooks;0;;NOP
Lester Quiñones;Lester;Quiñones;;L.Quiñones;22;;NOP
Kylor Kelley;Kylor;Kelley;;K.Kelley;35;;NOP
Mikal Bridges;Mikal;Bridges;;M.Bridges;25;;NYK
Josh Hart;Josh;Hart;;J.Hart;3;;NYK
OG Anunoby;OG;Anunoby;;O.Anunoby;8;;NYK
Karl-Anthony Towns;Karl-Anthony;Towns;;K.Towns;32;;NYK
Cameron Payne;Cameron;Payne;;C.Payne;1;;NYK
Jalen Brunson;Jalen;Brunson;;J.Brunson;11;;NYK
Miles McBride;Miles;McBride;;M.McBride;2;;NYK
Precious Achiuwa;Precious;Achiuwa;;P.Achiuwa;5;;NYK
Landry Shamet;Landry;Shamet;;L.Shamet;44;;NYK
Tyler Kolek;Tyler;Kolek;;T.Kolek;13;;NYK
Ariel Hukporti;Ariel;Hukporti;;A.Hukporti;55;;NYK
Pacome Dadiet;Pacome;Dadiet;;P.Dadiet;4;;NYK
Mitchell Robinson;Mitchell;Robinson;;M.Robinson;23;;NYK
Delon Wright;Delon;Wright;;D.Wright;0;;NYK
Anton Watson;Anton;Watson;;A.Watson;21;;NYK
MarJon Beauchamp;MarJon;Beauchamp;;M.Beauchamp;14;;NYK
Kevin McCullarJr;Kevin;McCullar;Jr.;K.McCullar;9;;NYK
P.J. Tucker;P.J.;Tucker;;P.Tucker;17;;NYK
Shai Gilgeous-Alexander;Shai;Gilgeous-Alexander;;S.Gilgeous-Alexander;2;;OKC
Aaron Wiggins;Aaron;Wiggins;;A.Wiggins;21;;OKC
Isaiah Joe;Isaiah;Joe;;I.Joe;11;;OKC
Luguentz Dort;Luguentz;Dort;;L.Dort;5;;OKC
Jalen J.Williams;Jalen;J.Williams;;Jal.J.Williams;8;;OKC
Jalen Williams;Jalen;Williams;;Jal.Williams;8;;OKC
Kenrich Williams;Kenrich;Williams;;K.Williams;34;;OKC
Cason Wallace;Cason;Wallace;;C.Wallace;22;;OKC
Isaiah Hartenstein;Isaiah;Hartenstein;;I.Hartenstein;55;;OKC
