Player Name;Name;Surname;Extra;Player Name 2;Number;Number2;Team
Devin Booker;Devin;Booker;;D.Booker;1;;PHO
Royce O'Neale;Royce;O'Neale;;R.O'Neale;0;;PHO
Ryan Dunn;Ryan;Dunn;;R.Dunn;0;;PHO
Mason Plumlee;Mason;Plumlee;;M.Plumlee;22;;PHO
Grayson Allen;Grayson;Allen;;G.Allen;8;;PHO
Kevin Durant;Kevin;Durant;;K.Durant;35;;PHO
Oso Ighodaro;Oso;Ighodaro;;O.Ighodaro;4;;PHO
Bradley Beal;Bradley;Beal;;B.Beal;3;;PHO
Monte Morris;Monte;Morris;;M.Morris;23;;PHO
Nick Richards;Nick;Richards;;N.Richards;2;;PHO
Bol Bol;Bol;Bol;;B.Bol;11;;PHO
Collin Gillespie;Collin;Gillespie;;C.Gillespie;12;;PHO
Damion Lee;Damion;Lee;;D.Lee;10;;PHO
TyTy WashingtonJr;TyTy;Washington;Jr.;T.Washington;14;;PHO
Cody Martin;Cody;Martin;;C.Martin;17;;PHO
Jalen Bridges;Jalen;Bridges;;J.Bridges;15;;PHO
Vasilije Micic;Vasilije;Micic;;V.Micic;18;;PHO
Toumani Camara;Toumani;Camara;;T.Camara;33;;POR
Shaedon Sharpe;Shaedon;Sharpe;;S.Sharpe;17;;POR
Deni Avdija;Deni;Avdija;;D.Avdija;8;;POR
Anfernee Simons;Anfernee;Simons;;A.Simons;1;;POR
Kris Murray;Kris;Murray;;K.Murray;24;;POR
Dalano Banton;Dalano;Banton;;D.Banton;5;;POR
Donovan Clingan;Donovan;Clingan;;D.Clingan;23;;POR
Scoot Henderson;Scoot;Henderson;;S.Henderson;0;;POR
Jabari Walker;Jabari;Walker;;J.Walker;34;;POR
Rayan Rupert;Rayan;Rupert;;R.Rupert;21;;POR
Jerami Grant;Jerami;Grant;;J.Grant;9;;POR
Duop Reath;Duop;Reath;;D.Reath;26;;POR
Deandre Ayton;Deandre;Ayton;;D.Ayton;2;;POR
Robert Williams;Robert;Williams;;R.Williams;35;;POR
Justin Minaya;Justin;Minaya;;J.Minaya;10;;POR
Matisse Thybulle;Matisse;Thybulle;;M.Thybulle;4;;POR
Bryce McGowens;Bryce;McGowens;;B.McGowens;11;;POR
Sidy Cissoko;Sidy;Cissoko;;S.Cissoko;91;;POR
Keon Ellis;Keon;Ellis;;K.Ellis;23;;SAC
DeMar DeRozan;DeMar;DeRozan;;D.DeRozan;10;;SAC
Keegan Murray;Keegan;Murray;;K.Murray;13;;SAC
Domantas Sabonis;Domantas;Sabonis;;D.Sabonis;11;;SAC
Trey Lyles;Trey;Lyles;;T.Lyles;41;;SAC
Malik Monk;Malik;Monk;;M.Monk;0;;SAC
Doug McDermott;Doug;McDermott;;D.McDermott;7;;SAC
Isaac Jones;Isaac;Jones;;I.Jones;3;17;SAC
Devin Carter;Devin;Carter;;D.Carter;22;;SAC
Zach LaVine;Zach;LaVine;;Z.LaVine;8;;SAC
Jonas Valanciunas;Jonas;Valanciunas;;J.Valanciunas;17;;SAC
Markelle Fultz;Markelle;Fultz;;M.Fultz;20;;SAC
Jake LaRavia;Jake;LaRavia;;J.LaRavia;33;;SAC
Isaiah Crawford;Isaiah;Crawford;;I.Crawford;24;;SAC
Mason Jones;Mason;Jones;;M.Jones;15;;SAC
Jae Crowder;Jae;Crowder;;J.Crowder;99;;SAC
Terence Davis;Terence;Davis;;T.Davis;9;;SAC
Harrison Barnes;Harrison;Barnes;;H.Barnes;40;;SAS
Julian Champagnie;Julian;Champagnie;;J.Champagnie;30;;SAS
Chris Paul;Chris;Paul;;C.Paul;3;;SAS
Stephon Castle;Stephon;Castle;;S.Castle;5;;SAS
Keldon Johnson;Keldon;Johnson;;K.Johnson;0;;SAS
Devin Vassell;Devin;Vassell;;D.Vassell;24;;SAS
Sandro Mamukelashvili;Sandro;Mamukelashvili;;S.Mamukelashvili;54;;SAS
Blake Wesley;Blake;Wesley;;B.Wesley;14;;SAS
Jeremy Sochan;Jeremy;Sochan;;J.Sochan;10;;SAS
Malaki Branham;Malaki;Branham;;M.Branham;22;;SAS
Victor Wembanyama;Victor;Wembanyama;;V.Wembanyama;1;;SAS
Charles Bassey;Charles;Bassey;;C.Bassey;28;;SAS
Bismack Biyombo;Bismack;Biyombo;;B.Biyombo;18;;SAS
Jordan McLaughlin;Jordan;McLaughlin;;J.McLaughlin;11;;SAS
De'Aaron Fox;De'Aaron;Fox;;D.Fox;4;;SAS
David DukeJr;David;Duke;Jr.;D.Duke;7;;SAS
Harrison Ingram;Harrison;Ingram;;H.Ingram;55;;SAS
Riley Minix;Riley;Minix;;R.Minix;27;;SAS
Jamal Shead;Jamal;Shead;;J.Shead;23;;TOR
Scottie Barnes;Scottie;Barnes;;S.Barnes;4;;TOR
Ochai Agbaji;Ochai;Agbaji;;O.Agbaji;30;;TOR
Jonathan Mogbo;Jonathan;Mogbo;;J.Mogbo;2;;TOR
Jamison Battle;Jamison;Battle;;J.Battle;77;;TOR
RJ Barrett;RJ;Barrett;;R.Barrett;9;;TOR
Jakob Poeltl;Jakob;Poeltl;;J.Poeltl;19;;TOR
Gradey Dick;Gradey;Dick;;G.Dick;1;;TOR
Ja'Kobe Walter;Ja'Kobe;Walter;;J.Walter;14;;TOR
Chris Boucher;Chris;Boucher;;C.Boucher;25;;TOR
Immanuel Quickley;Immanuel;Quickley;;I.Quickley;5;;TOR
Garrett Temple;Garrett;Temple;;G.Temple;17;;TOR
A.J. Lawson;A.J.;Lawson;;A.Lawson;0;;TOR
Colin Castleton;Colin;Castleton;;C.Castleton;11;;TOR
Jared Rhoden;Jared;Rhoden;;J.Rhoden;8;;TOR
Ulrich Chomche;Ulrich;Chomche;;U.Chomche;22;;TOR
Brandon Ingram;Brandon;Ingram;;B.Ingram;;;TOR
Kyle Filipowski;Kyle;Filipowski;;K.Filipowski;22;;UTA
Brice Sensabaugh;Brice;Sensabaugh;;B.Sensabaugh;28;;UTA
Isaiah Collier;Isaiah;Collier;;I.Collier;13;;UTA
Keyonte George;Keyonte;George;;K.George;3;;UTA
Johnny Juzang;Johnny;Juzang;;J.Juzang;33;;UTA
Collin Sexton;Collin;Sexton;;C.Sexton;2;;UTA
Walker Kessler;Walker;Kessler;;W.Kessler;24;;UTA
Cody Williams;Cody;Williams;;C.Williams;5;;UTA
Lauri Markkanen;Lauri;Markkanen;;L.Markkanen;23;;UTA
John Collins;John;Collins;;J.Collins;20;;UTA
Svi Mykhailiuk;Svi;Mykhailiuk;;S.Mykhailiuk;19;;UTA
Micah Potter;Micah;Potter;;M.Potter;25;;UTA
Jordan Clarkson;Jordan;Clarkson;;J.Clarkson;0;;UTA
KJ Martin;KJ;Martin;;K.Martin;99;;UTA
Jaden Springer;Jaden;Springer;;J.Springer;11;;UTA
Oscar Tshiebwe;Oscar;Tshiebwe;;O.Tshiebwe;34;;UTA
Elijah Harkless;Elijah;Harkless;;E.Harkless;16;;UTA
Taylor Hendricks;Taylor;Hendricks;;T.Hendricks;0;;UTA
Bub Carrington;Bub;Carrington;;B.Carrington;8;;WAS
Jordan Poole;Jordan;Poole;;J.Poole;13;;WAS
Kyshawn George;Kyshawn;George;;K.George;18;;WAS
Alex Sarr;Alex;Sarr;;A.Sarr;20;;WAS
Justin Champagnie;Justin;Champagnie;;J.Champagnie;9;;WAS
Corey Kispert;Corey;Kispert;;C.Kispert;24;;WAS
Bilal Coulibaly;Bilal;Coulibaly;;B.Coulibaly;0;;WAS
Anthony Gill;Anthony;Gill;;A.Gill;16;;WAS
Tristan Vukcevic;Tristan;Vukcevic;;T.Vukcevic;0;;WAS
Richaun Holmes;Richaun;Holmes;;R.Holmes;22;;WAS
Malcolm Brogdon;Malcolm;Brogdon;;M.Brogdon;15;;WAS
AJ Johnson;AJ;Johnson;;A.Johnson;5;;WAS
Marcus Smart;Marcus;Smart;;M.Smart;36;;WAS
Colby Jones;Colby;Jones;;C.Jones;1;;WAS
Khris Middleton;Khris;Middleton;;K.Middleton;32;;WAS
Jaylen Martin;Jaylen;Martin;;J.Martin;4;;WAS
JT Thor;JT;Thor;;J.Thor;21;;WAS
Saddiq Bey;Saddiq;Bey;;S.Bey;;;WAS
Jimmy Butler;Jimmy;Butler;;J.Butler;4;;MIA
Luka Doncic;Luka;Doncic;;L.Doncic;77;;DAL
Maxi Kleber;Maxi;Kleber;;M.Kleber;42;;DAL
D'Angelo Russell;D'Angelo;Russell;;D.Russell;1;;LAL
Ben Simmons;Ben;Simmons;;B.Simmons;10;;BRK
Mikal Bridges;Mikal;Bridges;;M.Bridges;1;;BRK
Paul George;Paul;George;;P.George;13;;LAC
AJ Johnson;AJ;Johnson;;A.Johnson;77;;MIL
Andrew Wiggins;Andrew;Wiggins;;A.Wiggins;22;;GSW
Quentin Grimes;Quentin;Grimes;;Q.Grimes;5;;DAL
Lindy Waters;Lindy;Waters;;L.Waters;43;;GSW
Kelly Olynyk;Kelly;Olynyk;;K.Olynyk;41;;TOR
Davion Mitchell;Davion;Mitchell;;D.Mitchell;45;;TOR
Dorian Finney-Smith;Dorian;Finney-Smith;;D.Finney-Smith;28;;BRK
Caris LeVert;Caris;LeVert;;C.LeVert;3;;CLE
Georges Niang;Georges;Niang;;G.Niang;20;;CLE
Shake Milton;Shake;Milton;;S.Milton;7;;BRK
JT Thor;JT;Thor;;J.Thor;15;;CLE
Kyle Anderson;Kyle;Anderson;;K.Anderson;1;;MEM
Dennis Schroder;Dennis;Schroder;;D.Schroder;71;;GSW
Jake LaRavia;Jake;LaRavia;;J.LaRavia;3;;MEM
Jazian Gortman;Jazian;Gortman;;J.Gortman;0;;DAL
Mo Bamba ;Mo;Bamba;;M.Bamba;4;;LAC
Marcus Smart;Marcus;Smart;;M.Smart;36;;MEM
De'Andre Hunter;De'Andre;Hunter;;D.Hunter;12;;ATL
David Roddy;David;Roddy;;D.Roddy;8;;ATL
Bogdan Bogdanovic;Bogdan;Bogdanovic;;B.Bogdanovic;13;;ATL
Anthony Davis;Anthony;Davis;;A.Davis;3;;LAL
Max Christie;Max;Christie;;M.Christie;12;;LAL
Cam Reddish;Cam;Reddish;;C.Reddish;5;;LAL
Khris Middleton;Khris;Middleton;;K.Middleton;22;;MIL
Zach LaVine;Zach;LaVine;;Z.LaVine;8;;CHI
Delon Wright;Delon;Wright;;D.Wright;55;;MIL
Chris Duarte;Chris;Duarte;;C.Duarte;8;;CHI
Liam Robbins;Liam ;Robbins;;L.Robbins;15;;MIL
MarJon Beauchamp;Marjon;Beauchamp;;M.Beauchamp;3;;MIL
Greg Brown;Greg;Brown;;G.Brown;9;;DAL
Trey Jemison;Trey;Jemison;;T.Jemison;55;;NOP
Javonte Green;Javonte;Green;;J.Green;4;;NOP
Daniel Theis;Daniel;Theis;;D.Theis;10;;NOP
Jericho Sims;Jericho;Sims;;J.Sims;20;;NYK
Matt Ryan;Matt;Ryan;;M.Ryan;37;;NYK
Caleb Martin;Caleb;Martin;;C.Martin;16;;PHI
Nick Richards;Nick;Richards;;N.Richards;4;;CHO
Vasilije Micic;Vasilije;Micic;;V.Micic;22;;CHO
Isaiah Wong;Isaiah;Wong;;I.Wong;21;;CHO
Drew Eubanks;Drew;Eubanks;;D.Eubanks;15;;UTA
Reggie Jackson;Reggie;Jackson;;R.Jackson;0;;PHI
Jusuf Nurkic;Jusuf;Nurkic;;J.Nurkic;20;;PHO
Josh Okogie;Josh;Okogie;;J.Okogie;2;;PHO
KJ Martin;KJ;Martin;;K.Martin;1;;PHI
Tre Jones;Tre;Jones;;T.Jones;33;;SAS
Skal Labissiere;Skal;Labissiere;;S.Labissiere;25;;SAC
Jacob Toppin;Jacob;Toppin;;J.Toppin;0;;NYK
Orlando Robinson;Orlando ;Robinson;;O.Robinson;21;;TOR
Malachi Flynn;Malachi;Flynn;;M.Flynn;22;;CHO
Jonas Valanciunas;Jonas;Valanciunas;;J.Valanciunas;17;;WAS
Killan Hayes;Killan;Hayes;;K.Hayes;7;;BRK
Marvin Bagley;Marvin;Bagley;;M.Bagley;35;;WAS
Johnny Davis;Johnny;Davis;;J.Davison;1;;WAS
Jared Butler;Jared;Butler;;J.Butler;4;;WAS
Jaden Springer;Jaden;Springer;;J.Springer;44;;BOS
De'Aaron Fox;De'Aaron;Fox;;D.Fox;5;;SAC
Colby Jones;Colby;Jones;;C.Jones;20;;SAC
Bones Hyland;Bones;Hyland;;B.Hyland;5;;LAC
Brandon Boston;Brandon;Boston;;B.Boston;11;;NOP
