Player Name,Number,Team
Alperen Şengün,28,HOU
Jabari Smith Jr.,10,HOU
Jae'Sean Tate,8,HOU
Amen Thompson,1,HOU
Fred VanVleet,5,HOU
Cam Whitmore,7,HOU
Jeenathan Williams,19,HOU
Bruce Brown,11,IND
Kendall Brown,10,IND
Tyrese Haliburton,0,IND
Buddy Hield,7,IND
Isaiah Jackson,22,IND
Quenton Jackson,29,IND
James Johnson,16,IND
Bennedict Mathurin,00,IND
T.J. McConnell,9,IND
Doug McDermott,20,IND
Andrew Nembhard,2,IND
Aaron Nesmith,23,IND
Jordan Nwora,13,IND
Ben Sheppard,26,IND
Pascal Siakam,43,IND
Jalen Smith,25,IND
Daniel Theis,27,IND
Obi Toppin,1,IND
Oscar Tshiebwe,44,IND
Myles Turner,33,IND
Jarace Walker,5,IND
Isaiah Wong,21,IND
Nicolas Batum,33,LAC
Brandon Boston Jr.,4,LAC
Kobe Brown,21,LAC
Amir Coffey,7,LAC
Robert Covington,23,LAC
Moussa Diabaté,25,LAC
Paul George,13,LAC
James Harden,1,LAC
Bones Hyland,5,LAC
Kawhi Leonard,2,LAC
Terance Mann,14,LAC
KJ Martin,6,LAC
Jordan Miller,11,LAC
Xavier Moon,22,LAC
Mason Plumlee,44,LAC
Norman Powell,24,LAC
Joshua Primo,12,LAC
Daniel Theis,10,LAC
P.J. Tucker,17,LAC
Russell Westbrook,0,LAC
Ivica Zubac,40,LAC
Colin Castleton,14,LAL
Max Christie,10,LAL
Anthony Davis,3,LAL
Spencer Dinwiddie,26,LAL
Alex Fudge,17,LAL
Harry Giles,20,LAL
Rui Hachimura,28,LAL
Jaxson Hayes,11,LAL
D'Moi Hodge,55,LAL
Jalen Hood-Schifino,0,LAL
LeBron James,23,LAL
Maxwell Lewis,21,LAL
Skylar Mays,4,LAL
Taurean Prince,12,LAL
Austin Reaves,15,LAL
Cam Reddish,5,LAL
D'Angelo Russell,1,LAL
Jarred Vanderbilt,2,LAL
Gabe Vincent,7,LAL
Dylan Windler,20,LAL
Christian Wood,35,LAL
Santi Aldama,7,MEM
Timmy Allen,0,MEM
Desmond Bane,22,MEM
Bismack Biyombo,18,MEM
Brandon Clarke,15,MEM
Tosan Evbuomwan,18,MEM
Wenyen Gabriel,32,MEM
Jacob Gilyard,0,MEM
Jordan Goodwin,4,MEM
Shaquille Harrison,1,MEM
Matthew Hurt,20,MEM
GG Jackson II,45,MEM
Jaren Jackson Jr.,13,MEM
DeJon Jarreau,77,MEM
Trey Jemison,55,MEM
Luke Kennard,10,MEM
John Konchar,46,MEM
Jake LaRavia,3,MEM
Kenneth Lofton Jr.,6,MEM
Ja Morant,12,MEM
Jaylen Nowell,24,MEM
Mãozinha Pereira,25,MEM
Scotty Pippen Jr.,1,MEM
David Roddy,21,MEM
Derrick Rose,23,MEM
Zavier Simpson,2,MEM
Marcus Smart,36,MEM
Lamar Stevens,24,MEM
Xavier Tillman Sr.,2,MEM
Yuta Watanabe,18,MEM
Jack White,14,MEM
Vince Williams Jr.,5,MEM
Ziaire Williams,8,MEM
Bam Adebayo,13,MIA
Thomas Bryant,31,MIA
Jimmy Butler,22,MIA
Jamal Cain,8,MIA
R.J. Hampton,4,MIA
Tyler Herro,14,MIA
Haywood Highsmith,24,MIA
Jaime Jaquez Jr.,11,MIA
Nikola Jović,5,MIA
Kevin Love,42,MIA
Kyle Lowry,7,MIA
Caleb Martin,16,MIA
Patty Mills,88,MIA
Josh Richardson,0,MIA
Duncan Robinson,55,MIA
Orlando Robinson,25,MIA
Terry Rozier,2,MIA
Dru Smith,9,MIA
Cole Swider,21,MIA
Alondes Williams,15,MIA
Delon Wright,4,MIA
Giannis Antetokounmpo,34,MIL
Thanasis Antetokounmpo,43,MIL
Malik Beasley,5,MIL
MarJon Beauchamp,3,MIL
Patrick Beverley,21,MIL
Marques Bolden,12,MIL
Pat Connaughton,24,MIL
Jae Crowder,99,MIL
Danilo Gallinari,12,MIL
A.J. Green,20,MIL
Andre Jackson Jr.,44,MIL
Damian Lillard,0,MIL
Chris Livingston,7,MIL
Brook Lopez,11,MIL
Robin Lopez,42,MIL
Khris Middleton,22,MIL
Cameron Payne,15,MIL
Bobby Portis,9,MIL
Ryan Rollins,55,MIL
TyTy Washington Jr.,23,MIL
Lindell Wigginton,28,MIL
Nickeil Alexander-Walker,9,MIN
Kyle Anderson,1,MIN
Troy Brown Jr.,23,MIN
Mike Conley,10,MIN
Anthony Edwards,5,MIN
Luka Garza,55,MIN
Rudy Gobert,27,MIN
Justin Jackson,44,MIN
Jaden McDaniels,3,MIN
Jordan McLaughlin,6,MIN
Leonard Miller,33,MIN
Shake Milton,18,MIN
Josh Minott,8,MIN
Wendell Moore Jr.,7,MIN
Monte Morris,23,MIN
Daishen Nix,12,MIN
Naz Reid,11,MIN
Karl-Anthony Towns,32,MIN
T.J. Warren,24,MIN
Jose Alvarado,15,NOP
Izaiah Brockington,21,NOP
Jalen Crutcher,10,NOP
